"","FID","HRR_BDRY_I","HRRNUM","HRRCITY","Longitude","Latitude","population"
"169",168,171,277,"NE- LINCOLN",-99.1340911621,41.0317187177,616553
"170",169,172,278,"NE- OMAHA",-97.5833297592,41.6595986444,1397139
"171",170,173,279,"NV- LAS VEGAS",-115.717354059,36.280631969,2324024
"172",171,174,280,"NV- RENO",-118.111463464,39.5866208047,814637
"173",172,175,281,"NH- LEBANON",-72.0644487409,44.0139390392,402878
"174",173,176,282,"NH- MANCHESTER",-71.5135833851,43.3194870032,924954
"175",174,177,283,"NJ- CAMDEN",-74.6687973501,39.7258882432,2902894
"176",175,178,284,"NJ- HACKENSACK",-74.0119392489,41.008147831,1345108
"177",176,179,285,"NJ- MORRISTOWN",-74.7117429045,41.0579977909,1048088
"178",177,180,288,"NJ- NEW BRUNSWICK",-74.5271782709,40.4409211075,1108849
"179",178,181,289,"NJ- NEWARK",-74.2205065038,40.738539649,1618795
"180",179,182,291,"NJ- PATERSON",-74.3103586791,41.0323552532,408340
"181",180,183,292,"NJ- RIDGEWOOD",-74.2247258374,41.220553146,488296
"182",181,184,293,"NM- ALBUQUERQUE",-106.784017213,35.1038305027,1783180
"183",182,185,295,"NY- ALBANY",-74.0334658049,42.7055317282,1877776
"184",183,186,296,"NY- BINGHAMTON",-75.506098736,42.2514293658,361111
"185",184,187,297,"NY- BRONX",-73.8390675121,40.8714005734,1481665
"186",185,188,299,"NY- BUFFALO",-78.5848274683,42.6553460478,1375836
"187",186,189,300,"NY- ELMIRA",-75.3343187614,43.1522204865,328389
"188",187,190,301,"NY- EAST LONG ISLAND",-73.0856479182,40.8372696098,4890736
"189",188,191,303,"NY- NEW YORK",-74.0078335288,40.6493279834,5294748
"190",189,192,304,"NY- ROCHESTER",-77.445422516,42.6995547452,1320614
"191",190,193,307,"NY- SYRACUSE",-75.817516327,43.5341737972,1080606
"192",191,194,308,"NY- WHITE PLAINS",-74.0691675449,41.376597522,1172980
"193",192,195,309,"NC- ASHEVILLE",-82.819378013,35.5349129255,716444
"194",193,196,311,"NC- CHARLOTTE",-80.8710750865,35.185304616,2807952
"195",194,197,312,"NC- DURHAM",-79.1113581453,35.9626509684,1464905
"196",195,198,313,"NC- GREENSBORO",-79.7703584209,35.8912241416,663863
"197",196,199,314,"NC- GREENVILLE",-77.0537581579,35.4536079004,886928
"198",197,200,315,"NC- HICKORY",-81.3516337615,35.7905931859,299959
"199",198,201,318,"NC- RALEIGH",-78.2629469942,35.6286672151,2307168
"200",199,202,319,"NC- WILMINGTON",-78.2874347587,34.3884959132,507473
"201",200,203,320,"NC- WINSTON-SALEM",-80.7139153799,36.2718354598,1181740
"202",201,204,321,"ND- BISMARCK",-101.579173624,46.4933084567,253497
"203",202,205,322,"ND- FARGO MOORHEAD -MN",-96.9757113031,47.0799974124,586112
"204",203,206,323,"ND- GRAND FORKS",-97.355247306,48.4303830126,173846
"205",204,207,324,"ND- MINOT",-101.818598907,48.3529700987,164529
"206",205,208,325,"OH- AKRON",-81.4036121829,41.1215134102,702957
"207",206,209,326,"OH- CANTON",-81.5509912737,40.6617255397,645256
"208",207,210,327,"OH- CINCINNATI",-84.210665217,39.1746287237,1727800
"209",208,211,328,"OH- CLEVELAND",-81.7651754777,41.4103115968,2054212
"210",209,212,329,"OH- COLUMBUS",-82.5667636275,39.8607607492,3204024
"211",210,213,330,"OH- DAYTON",-84.2142572562,40.3135765365,1075164
"212",211,214,331,"OH- ELYRIA",-82.1429034238,41.3540846577,263828
"213",212,215,332,"OH- KETTERING",-84.0681722369,39.6200426413,446387
"214",213,216,334,"OH- TOLEDO",-83.596070567,41.4244840922,999364
"215",214,217,335,"OH- YOUNGSTOWN",-80.6730295772,41.1374852132,616955
"216",215,218,336,"OK- LAWTON",-98.3388105967,34.5324978884,202018
"217",216,219,339,"OK- OKLAHOMA CITY",-98.1486201421,35.5669810463,2057781
"218",217,220,340,"OK- TULSA",-95.906474694,36.0038460793,1463158
"219",218,221,341,"OR- BEND",-119.920159848,43.7234249303,254350
"220",219,222,342,"OR- EUGENE",-123.279416547,43.6592793932,777259
"221",220,223,343,"OR- MEDFORD",-121.947459671,42.2784246748,462897
"222",221,224,344,"OR- PORTLAND",-121.222572264,45.5487568369,2971445
"223",222,225,345,"OR- SALEM",-122.824376974,44.8442961009,346822
"224",223,226,346,"PA- ALLENTOWN",-75.4979681401,40.8037283763,1270791
"225",224,227,347,"PA- ALTOONA",-78.2912263285,40.5480397864,293871
"226",225,228,350,"PA- DANVILLE",-77.1190289262,41.1222959538,597482
"227",226,229,351,"PA- ERIE",-79.2669297362,41.7280784329,705452
"228",227,230,352,"PA- HARRISBURG",-77.3260562587,40.2308972852,1079388
"229",228,231,354,"PA- JOHNSTOWN",-78.9491377616,40.1895189435,210197
"230",229,232,355,"PA- LANCASTER",-76.1451724317,40.0086729938,712527
"231",230,233,356,"PA- PHILADELPHIA",-75.1552892038,40.180091338,4303457
"232",231,234,357,"PA- PITTSBURGH",-79.8877524085,40.5072404568,2892923
"233",232,235,358,"PA- READING",-76.0607236548,40.5041837548,606749
"234",233,236,359,"PA- SAYRE",-76.812691515,41.8184205876,194913
"235",234,237,360,"PA- SCRANTON",-75.4084434027,41.5927841453,323641
"236",235,238,362,"PA- WILKES-BARRE",-75.8816809261,41.2326313886,246933
"237",236,239,363,"PA- YORK",-76.7550042653,39.8823873695,455658
"238",237,240,364,"RI- PROVIDENCE",-71.5529925067,41.7084036443,1251018
"239",238,241,365,"SC- CHARLESTON",-80.0129058337,33.1546143348,1223433
"240",239,242,366,"SC- COLUMBIA",-81.1125285481,33.9877317438,1311455
"241",240,243,367,"SC- FLORENCE",-79.6060487181,34.1495470383,380302
"242",241,244,368,"SC- GREENVILLE",-82.5514705121,34.7035178877,1001441
"243",242,245,369,"SC- SPARTANBURG",-81.8236849122,34.9131667272,405823
"244",243,246,370,"SD- RAPID CITY",-102.780331756,44.1313076465,236011
"245",244,247,371,"SD- SIOUX FALLS",-98.1518882177,44.1411313212,828983
"246",245,248,373,"TN- CHATTANOOGA",-85.2526735288,35.138958949,745483
"247",246,249,374,"TN- JACKSON",-88.614626568,35.8371668422,335928
"248",247,250,375,"TN- JOHNSON CITY",-82.1023040441,36.2812120337,292867
"249",248,251,376,"TN- KINGSPORT",-82.2650127578,36.8587077798,483871
"250",249,252,377,"TN- KNOXVILLE",-83.8938435352,36.0416285919,1438628
"251",250,253,379,"TN- MEMPHIS",-89.9248940468,34.9702768456,1854430
"252",251,254,380,"TN- NASHVILLE",-86.599351174,36.116601422,3126384
"253",252,255,382,"TX- ABILENE",-99.406134035,32.3075633253,306780
"254",253,256,383,"TX- AMARILLO",-101.767428833,35.645161705,464163
"255",254,257,385,"TX- AUSTIN",-97.8929771968,30.358413255,2156897
"256",255,258,386,"TX- BEAUMONT",-94.1536297344,30.4471495754,475394
"257",256,259,388,"TX- BRYAN",-96.2646305997,30.8248260682,312680
"258",257,260,390,"TX- CORPUS CHRISTI",-97.9588722565,27.6724987323,608697
"259",258,261,391,"TX- DALLAS",-96.3419366827,33.2100290375,5632690
"260",259,262,393,"TX- EL PASO",-106.077990599,32.1310168868,1195126
"261",260,263,394,"TX- FORT WORTH",-97.911328251,32.6086510448,2515303
"262",261,264,396,"TX- HARLINGEN",-97.6463987653,26.2479869188,643504
"263",262,265,397,"TX- HOUSTON",-95.4706267796,30.1909714461,7633932
"264",263,266,399,"TX- LONGVIEW",-94.5845762856,32.7291754081,225174
"265",264,267,400,"TX- LUBBOCK",-102.332748789,33.3484176807,769723
"266",265,268,402,"TX- MCALLEN",-98.4765162957,26.4993684309,761515
"267",266,269,406,"TX- ODESSA",-103.145714556,30.6866941776,411947
"268",267,270,411,"TX- SAN ANGELO",-100.71827761,31.1834409253,169711
"269",268,271,412,"TX- SAN ANTONIO",-99.3841720029,29.1464046987,3141320
"270",269,272,413,"TX- TEMPLE",-97.4965949958,30.9879488909,596208
"271",270,273,416,"TX- TYLER",-95.3902701573,32.1970287527,590785
"272",271,274,417,"TX- VICTORIA",-97.1000936248,28.8162362708,159201
"273",272,275,418,"TX- WACO",-97.1853756914,31.6628126824,363429
"274",273,276,420,"TX- WICHITA FALLS",-98.9877439647,33.7284805709,203695
"275",274,277,421,"UT- OGDEN",-112.891951539,41.4797029262,553643
"276",275,278,422,"UT- PROVO",-112.444808676,39.3469358674,712097
"277",276,279,423,"UT- SALT LAKE CITY",-112.16549118,39.9431254085,2281437
"278",277,280,424,"VT- BURLINGTON",-73.6833621224,44.3645345359,656776
"279",278,281,426,"VA- ARLINGTON",-77.5977091345,38.8354227072,2545128
"280",279,282,427,"VA- CHARLOTTESVILLE",-78.9169621341,38.2188013753,620746
"281",280,283,428,"VA- LYNCHBURG",-79.131720635,37.3343720936,279346
"282",281,284,429,"VA- NEWPORT NEWS",-76.6220765052,37.323776086,589322
"283",282,285,430,"VA- NORFOLK",-76.372874484,36.6193935561,1360577
"284",283,286,431,"VA- RICHMOND",-77.583054342,37.4745988519,1875729
"285",284,287,432,"VA- ROANOKE",-80.4973972665,37.2907888537,720206
"286",285,288,435,"VA- WINCHESTER",-78.5295416823,39.103928535,472012
"287",286,289,437,"WA- EVERETT",-121.762986262,48.2210008991,739489
"288",287,290,438,"WA- OLYMPIA",-122.79943694,46.7528357589,426377
"289",288,291,439,"WA- SEATTLE",-123.151121802,47.7056214633,3164667
"290",289,292,440,"WA- SPOKANE",-117.633227327,47.2072339465,1655749
"291",290,293,441,"WA- TACOMA",-122.167000785,46.967612463,879534
"292",291,294,442,"WA- YAKIMA",-120.568810656,46.7611407009,312880
"293",292,295,443,"WV- CHARLESTON",-81.1384756566,38.3820924202,837982
"294",293,296,444,"WV- HUNTINGTON",-82.4859294706,38.3799497493,355667
"295",294,297,445,"WV- MORGANTOWN",-79.9365256994,39.2761851451,410723
"296",295,298,446,"WI- APPLETON",-88.7833881399,44.7344313367,338613
"297",296,299,447,"WI- GREEN BAY",-87.9305302144,45.1766084887,526603
"298",297,300,448,"WI- LA CROSSE",-91.2560147065,43.6412986103,362540
"299",298,301,449,"WI- MADISON",-89.6920058969,43.2125329548,1161227
"300",299,302,450,"WI- MARSHFIELD",-90.4689583429,45.1722357215,385016
"301",300,303,451,"WI- MILWAUKEE",-88.211035622,43.1606033825,2741792
"302",301,304,452,"WI- NEENAH",-88.9585066565,43.9406719412,244712
"303",302,305,456,"WI- WAUSAU",-89.379783884,45.5396959804,191915
"304",303,306,457,"WY- CASPER",-106.862314256,42.9192860787,202384
